license_num,legal_holder,dba,address,license_type,scope_class,source_label_segment,source_label_family,source_license_types,source_license_categories,license_type_literal_flags,restriction_label_state,source_label_classification_status,source_label_classification_notes,roster_status,expires,location_comments,premises_description,finance_keyword_marker_any_field,finance_marker_field_names,historical_granted_pledge_in_window,holder_id,owner_group,capital_category,documented_pe_group_affiliation,ownership_status,ownership_reviewed,relationship,scale_band,equity_ownership_disclaimed_by_group,corporate_officer_evidence,corporate_officer_note,current_ucc_status,current_ucc_occurrences,lapsed_ucc_status,lapsed_ucc_occurrences,name_mode_review_reasons,collateral_status,reconciled_history_count,reconciled_history_entry_count,reconciled_history_prior_complete_original_pdf_count,reconciled_history_pending_original_pdf_count,reconciled_history_pending_amendment_pdf_count,reconciled_history_status,transfer_status,pledge_status,event_count,transfer_count,transfer_application_disposition_count,transfer_granted_count,pledge_count,pledge_application_disposition_count,pledge_granted_count,pledge_release_count,transfer_revocation_notice_count,ownership_interest_count,ownership_interest_granted_count,ownership_interest_entity_conversion_count,ownership_interest_status,ownership_interest_notice_count,ownership_interest_notice_status,history_source_notice_count,history_proposal_or_unresolved_outcome_count,judgment_attachment_observation_count,notes,source_urls
LB-101303,Newt's Pharmacy LLC,Melvin Pharmacy,1558-  Commonwealth AV,Druggist,category_needs_verification,retail_druggist_labeled,druggist,Druggist,Misc,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,Retail/druggist grouping does not resolve whether this boundary record is an alcohol license.,Active,2024-12-31,In one room first floor; cellar for stock.,In one room first floor; cellar for stock.,False,,False,BH-f406d989a6296ce9,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,0,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,Boundary category shown separately: category_needs_verification | Roster says Active but expiration predates the research date.,https://data.boston.gov/dataset/licensing-board-licenses
LB-101566,"PAGA, INC.",ICON,100B-  Warrenton ST,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,"IN TWO ROOMS ON THE FIRST FLOOR WITH ENTRANCE ON WARRENTON STREET, AND EMERGENCY EXIT TO ALLEY IN REAR, BASEMENT FOR STORAGE.",,False,,True,BH-e84839d277f0e755,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,Pledge application granted,1,0,0,0,1,1,1,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,Roster comment: LICENSING BOARD GRANTED PERMISSION TO PROVIDE BOTTLE SERVICE ON PREMISES,https://data.boston.gov/dataset/licensing-board-licenses | https://www.boston.gov/sites/default/files/file/2022/03/Voting%20Minutes%203-24-22.docx.pdf#page=10
LB-101567,"Sullivan's Saloon, LLC",SULLIVAN'S TAP,168-  Canal ST,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,Also addressed as 168 1/2 Canal Street - In one room on the first floor with kitchen and exit in the rear and cellar for stock.,,False,,False,BH-fe7d1159ba021c98,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,0,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,,https://data.boston.gov/dataset/licensing-board-licenses
LB-101568,"TREMONT THEATRE, INC.",SHUBERT THEATRE,265-  Tremont ST,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,In basement lobby; first floor; second floor and third floor lobbies; cellar for stock.,@ 265 TREMONT STREET: In basement lobby; first floor; second floor and third floor lobbies; cellar for stock.,False,,False,BH-0bf2a6d1cb40a8c3,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,0,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,,https://data.boston.gov/dataset/licensing-board-licenses
LB-101569,"ATG Colonial, LLC",THE EMERSON COLONIAL THEATRE,98-106  Boylston ST,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,"Basement lobby, first, second and third floor, lobby and cellar for stock","Basement lobby, first, second and third floor, lobby and cellar for stock",False,,False,BH-d7f0e9e8a01cac43,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,0,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,,https://data.boston.gov/dataset/licensing-board-licenses
LB-101570,"First Watch Restaurants, Inc",First Watch #1180,777-  Boylston ST,CV7 All Alc.,alcohol_license,common_victualler_onprem_nonairport,common_victualler,CV7 All Alc.,Common Victualler,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,,"3,109 SQ. FT. interior restaurant space on 1st floor with 2 entrances and 3 exits; to include dining area with seating for approximately 108 and 10 bar/counter seats, women's and men's restrooms, and kitchen in the rear. All alcohol will be stored in the back bar area, within lockable cooler and dry storage cabinets. Floor 2, basement consisting of 1,410 SQ. FT. will be used for additional prep, storage, and employee break room. Also to include a 585 sq. ft. private patio for annual dining, weather permitting. The patio will close at 2:30 p.m. (same as interior closing hour).",False,,True,BH-30f3bd00633b7d54,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,Transfer application granted,Pledge application granted,4,3,3,3,1,1,1,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,1,0,0,Roster comment: Waiting Standing 20 occ Dining RM Booths 32 Banquette 30 Bar Unconcentrated 54 Max Total Occupants 136 5 Staff Exterior Seating,https://data.boston.gov/dataset/licensing-board-licenses | https://www.boston.gov/sites/default/files/file/2020/05/Board%27s%20Voting%20Agenda%20May%2028%2C%202020.pdf#page=1 | https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf#page=8 | https://www.boston.gov/sites/default/files/file/2025/06/Voting%20Minutes%206-26-25.docx%20%281%29.pdf#page=7 | https://www.boston.gov/sites/default/files/file/2025/04/Voting%20Minutes%204-17-25.docx.pdf#page=3
LB-101571,"OLD TRAFFORD, INC.",PARADISE,967-  Commonwealth AV,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,IN WHOLE OF SAID BUILDING - BASEMENT FOR STORAGE IN ADDITION OF A MEZZANINE TO PARADISE ROOM AND TO INCLUDE AN OUTDOOR PATIO FOR 32 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.  Capacity breakdown: 1st fl - 576; mezzanine - 357; lounge - 66.,IN WHOLE OF SAID BUILDING - BASEMENT FOR STORAGE IN ADDITION OF A MEZZANINE TO PARADISE ROOM AND TO INCLUDE AN OUTDOOR PATIO FOR 32 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.  Capacity breakdown: 1st fl - 576; mezzanine - 357; lounge - 66.,False,,False,BH-93d52336f7012ccf,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,0,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,Roster comment: PATIO CONDITIONS 1 ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD 2 STAFFED ALL TIMES,https://data.boston.gov/dataset/licensing-board-licenses
LB-101572,"BOSTON CULINARY GROUP, INC.",Sodexo Live!,-  Central Wharf ,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,,"Central Wharf, Boston: In whole of main exhibit building, In whole of IMAX theatre, In whole of vessel Discovery; Tented area called Harbor Terrace from May through October also has a seasonal outdoor patio on the Aquarium Plaza Cafe on private property with capacity for 120 patrons outdoors between the hours of 12:00 PM - 10:00 PM. Indoor closing hour: 1:00 AM.",False,,False,BH-db88029f356c4bdc,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,Transfer application granted,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,1,1,1,1,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,Roster comment: Outdoor Patio opening hours 12 00 P M to 10,https://data.boston.gov/dataset/licensing-board-licenses | https://www.boston.gov/sites/default/files/file/2024/01/Voting%20Minutes%201-4-24.docx_0.pdf#page=8
LB-101573,110 Boulevard Restaurant LLC,110 Boulevard,110-  Broad ST,CV7 All Alc.,alcohol_license,common_victualler_onprem_nonairport,common_victualler,CV7 All Alc.,Common Victualler,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,,"110 Broad Street , Boston, MA 02210. Premise consist of – In one room on first floor consisting of 3,550SF with bar seating of 8 and table seating of 102, bathrooms to right of entrance and kitchen and storage in rear.",False,,False,BH-b6ba6e1b9c60d141,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Index complete — no query matches,0,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,Transfer application deferred; Transfer application granted,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,2,2,2,1,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,Roster comment: 2026 TEMP CLOSED DO NOT ISSUE AWAIT DOCS,https://data.boston.gov/dataset/licensing-board-licenses | https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchResults.aspx?sysvalue=ORIhMVYRub09EF9n4TWp2YHrUO62ErYNEY2LWxdD8P4- | https://www.boston.gov/sites/default/files/file/2022/06/Voting%20Minutes%206_8_22.docx%20%282%29.pdf#page=8 | https://www.boston.gov/sites/default/files/file/2022/07/Voting%20Minutes%207-28-22.pdf#page=14
LB-101574,EMERSON COLLEGE,EMERSON COLLEGE,543-561  Washington ST,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,"THE ENTIRE PUBLIC AREA DIRECTLY ACCESSIBLE FROM THE 559 WASHINGTON STREET ENTRANCE INCLUDING THE MAIN THEATRE, THE BLACK BOX, THE SCREENING ROOM AND ALL OF THEIR ASSOCIATED LOBBIES.",,False,,False,BH-07f14fc3f6b7b47c,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,0,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,,https://data.boston.gov/dataset/licensing-board-licenses
LB-101576,FOGAO GAUCHO LLC,,401-  D ST,CV7 All Alc.,alcohol_license,common_victualler_onprem_nonairport,common_victualler,CV7 All Alc.,Common Victualler,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,,"On first floor of multi-story building consisting of +/- 4,791 sq. ft. with seating for 267 patrons. Licensed premises includes Dining Area (2,605 sq. ft.) with seating for 142 patrons, Private Room (760 sq. ft.) with seating for 56 patrons, Lounge Bar (339 sq. ft.) with seating for 10 patrons, Host Area (270 sq. ft.) with seating for 10 patrons. Lounge Standing Area with seating for 15 patrons. Outdoor seasonal  (Feb-Nov) consisting of 797 sq. ft. with seating for 34 patrons same hours as restaurant.",False,,True,BH-eaead74d9d69effc,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,Pledge application granted,1,0,0,0,1,1,1,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,,https://data.boston.gov/dataset/licensing-board-licenses | https://www.boston.gov/sites/default/files/file/2020/10/Oct%201st%20agenda_1.pdf#page=7
LB-101577,Limani Seaport Boston LLC,Limani Grille,100-  Northern AV,CV7 All Alc.,alcohol_license,common_victualler_onprem_nonairport,common_victualler,CV7 All Alc.,Common Victualler,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,"6,401sf: On ground floor with main dining room, bar area seating and two private dining rooms. Kitchen, storageand office in rear. Two main entrances: through lobby of building and front vestibule; four exits. 550sf seasonaloutdoor patio (April - October) on private property, closing hour 11pm.","6,401sf: On ground floor with main dining room, bar area seating and two private dining rooms. Kitchen, storage and office in rear. Additional storage in basement. Two main entrances: through lobby of building and front vestibule; four exits. 550sf seasonal outdoor patio (April - October) on private property, closing hour 11pm.",False,,False,BH-3fea4212336455a0,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,Transfer application granted,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,1,1,1,1,0,0,0,0,0,1,1,0,Ownership-interest application — granted,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,Roster comment: Capacity Breakdown 40 persons outside per plans,https://data.boston.gov/dataset/licensing-board-licenses | https://www.boston.gov/sites/default/files/file/2022/06/Voting%20Minutes%206_8_22.docx%20%282%29.pdf#page=6 | https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%205.27.21.pdf#page=4
LB-101578,GUZBIN LLC,MEDALLO,411-  Chelsea ST,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,"UNNUMBERED ENTRANCE NEXT TO 411 CHELSEA STREET AND TWO EMERGENCY EXITS; IN ONE ROOM ON 1ST FLOOR OF 411 CHELSEA STREET; 2ND FLOOR OF 413 CHELSEA STREET & BASEMENT OF 411 CHELSEA STREET FOR STOCK.  411-413 CHELSEA STREET, EAST BOSTON, MA  02128",UNNUMBERED ENTRANCE NEXT TO 411 CHELSEA STREET AND TWO EMERGENCY EXITS; IN ONE ROOM ON 1ST FLOOR OF 411 CHELSEA STREET; 2ND FLOOR OF 413 CHELSEA STREET & BASEMENT OF 411 CHELSEA STREET FOR STOCK.,False,,False,BH-70811506776a9e59,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,0,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,Roster comment: Board granted petition to provide Bottle Service on their licensed premise,https://data.boston.gov/dataset/licensing-board-licenses
LB-101579,Flour & Egg LLC,SJ’s,745-  Atlantic AV,CV7 All Alc.,alcohol_license,common_victualler_onprem_nonairport,common_victualler,CV7 All Alc.,Common Victualler,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,"Premise consists of: In one large room on ground floor consisting of various dining areas and bar; kitchen, storage and restrooms in rear; seasonal (April-October) outdoor patio on private property containing 24 seats with 10:00 PM outdoor closing hour. Indoor closing hour 11:00 PM.","Premise consists of: In one large room on ground floor consisting of various dining areas and bar; kitchen, storage and restrooms in rear; seasonal (April-October) outdoor patio on private property containing 24 seats with 10:00 PM outdoor closing hour. Indoor closing hour 11:00 PM.",False,,True,BH-046334778817dd36,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,Transfer application granted,Pledge application granted,2,1,1,1,1,1,1,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,,https://data.boston.gov/dataset/licensing-board-licenses | https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf#page=8
LB-101580,"Big House, LLC",BSMNT,100-  Stuart ST,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,,"In one room on lower level (+/- 3,918SF) with bar and lounge seating (+/- 50 patrons) and standing area (+/- 150 patrons). Washrooms and storage in rear.",False,,True,BH-c3db442b0c696ee2,Big Night Entertainment Group,Private investment activity disclosed; institutional equity unresolved,False,venue_name_and_address_match,True,restaurant_operator_group_affiliation,6–19 venues (12 observed minimum; not an exhaustive upper bound),,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,Transfer application granted,Pledge application granted,3,2,2,2,1,1,1,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,"Roster comment: BOARD PERMITS BOTTLE SERVICE Board granted Bottle Service to be provided five 5 tables in lounge area Capacity Breakdown Night Club 200 Persons Total 12 Barstools 28 Fixed Seats 13 Nonfixed 147 Standing | Separate Big House LLC general-on-premises alcohol license. Situated inside W Hotel; no hotel equity inference. | Founded by Ed Kane, Joe Kane and Randy Greenstein. Counsel disclosed private-placement work to raise private equity in 2018, with investors, ownership percentages and current stakes undisclosed. This does not establish institutional PE sponsorship or portfolio-wide ownership.",https://data.boston.gov/dataset/licensing-board-licenses | https://www.bignight.com/our-story | https://www.sherin.com/firm-news/congratulations-to-our-client-big-night-entertainment-group-on-development-of-new-boston-concert-venue/ | https://www.bignight.com/big-night-restaurants | https://www.bignight.com/big-night-nightlife | https://www.gracebynia.com/ | https://www.empireboston.com/ | https://www.versusboston.com/ | https://www.scorpionboston.com/ | https://bignightlive.com/ | https://www.bsmntboston.com/ | https://www.boston.gov/sites/default/files/file/2023/08/8-17%20Voting%20Minutes%20.docx%20%282%29.pdf#page=14 | https://www.boston.gov/sites/default/files/file/2024/05/BLB%20Voting%20Minutes%205-1-24.pdf#page=7
LB-101581,149 Charles Pub LLC,Charles Street Pub,149-  Charles ST,GOP All Alc.,alcohol_license,other_onprem_labeled,general_on_premise,GOP All Alc.,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,"Rear exit to alley; in two rooms and kitchen on first floor; cellar for stock.  149A CHARLES STREET, BOSTON, MA  02114",Rear exit to alley; in two rooms and kitchen on first floor; cellar for stock.,False,,True,BH-f7b380b90e066498,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Index complete — candidates found,2,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,Transfer application granted,Pledge application granted,4,2,2,2,2,2,2,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,Roster comment: 2026 Temp Closed AWAIT DOCS DO NOT ISSUE,https://data.boston.gov/dataset/licensing-board-licenses | https://corp.sec.state.ma.us/CorpWeb/UCCSearch/UCCSearchResults.aspx?sysvalue=ORIhMVYRub09EF9n4TWp2YHrUO62ErYNEY2LWxdD8P4- | https://www.boston.gov/sites/default/files/file/2022/03/Voting%20Minutes%203-3-22%20-%20Final.docx.pdf#page=9 | https://www.boston.gov/sites/default/files/file/2022/09/Voting%20Minutes%209-29-22%20%283%29.pdf#page=6 | https://www.boston.gov/sites/default/files/file/2026/07/Voting%20Minutes%207-16-26.docx.pdf#page=11
LB-101595,LYRIC STAGE COMPANY,LYRIC STAGE,140-  Clarendon ST,GOP Malt Wine,alcohol_license,other_onprem_labeled,general_on_premise,GOP Malt Wine,General on Premise,"{""ambiguous_rest_abbreviation"": false, ""community_spaces_literal"": false, ""restricted_literal"": false, ""special_legislation_literal"": false, ""unrestricted_literal"": false}",none_in_class_label,source_label_mapped,,Active,2026-12-31,140 CLARENDON STREET; ON THE SECOND FLOOR THEATRE AND LOBBY.,140 CLARENDON STREET; ON THE SECOND FLOOR THEATRE AND LOBBY.,False,,False,BH-3f3d13c141a9f608,Unresolved,Unresolved,False,Not reviewed,False,Unresolved,Unresolved,,,,Pending,,Pending,,,Collateral review incomplete,0,0,0,0,0,No separate saved-history reconciliation recorded,No transfer action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,No pledge action matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,0,0,0,0,0,0,0,0,0,No ownership-interest application matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,No ownership-interest notice matched in collected archive windows: 2020-04-23 through 2023-12-14; 2024-01-01 through 2026-09-03,0,0,0,Roster comment: 11 00 M to P,https://data.boston.gov/dataset/licensing-board-licenses
