fiscal_year,action_date,piid,parent_idv,modification,facility,facility_class,legal_awardee,recipient_uei,cage_code,awarding_subagency,action_type,obligation_delta,award_total_obligations_snapshot,award_total_outlay_snapshot,base_and_exercised_options_value_snapshot,current_total_value_snapshot,potential_total_value_snapshot,pop_start,pop_current_end,pop_potential_end,pricing,number_of_offers,extent_competed,solicitation_procedures,other_than_full_and_open_basis,undefinitized_action,naics,psc,description,usa_contract_transaction_key
2024,2023-10-25,70CDCR23FR0000015,70CDCR20D00000007,P00009,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,13635984.17,83969721.68,87937059.32,13635984.17,83969721.68,83969721.68,2022-12-20,2023-12-19,2023-12-19 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,ADDING FUNDS FOR DETENTION SERVICES AT THE OTAY MESA DETENTION CENTER,7012_7012_70CDCR23FR0000015_P00009_70CDCR20D00000007_0
2024,2023-10-25,70CDCR23FR0000041,70CDCR20D00000013,P00002,T. Don Hutto Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,3900759.00,23251184.00,23248432.54,3900759.00,23251184.00,23251184.00,2023-08-01,2024-07-31,2024-07-31 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,FUNDING MODIFICATION,7012_7012_70CDCR23FR0000041_P00002_70CDCR20D00000013_0
2024,2023-11-01,70CDCR23FR0000051,70CDCR20D00000014,P00003,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,616140.00,43343652.72,43343657.09,616140.00,43343652.72,43343652.72,2023-08-18,2024-08-17,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES,7012_7012_70CDCR23FR0000051_P00003_70CDCR20D00000014_0
2024,2023-11-16,70CDCR23FR0000030,DJJODT9C0001,P00003,Central Arizona Florence Correctional Complex,legacy_direct,CORRECTIONS CORPORATION OF AMERICA,HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,162900.00,16978798.00,16924174.76,162900.00,16978798.00,16978798.00,2023-07-01,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FOLLOW ON TO COMPETED ACTION,NEGOTIATED PROPOSAL/QUOTE,FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)),NO,922190,S206,TASK ORDER FOR CAFCC,7012_1501_70CDCR23FR0000030_P00003_DJJODT9C0001_0
2024,2023-12-11,70CDCR23FR0000051,70CDCR20D00000014,P00004,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,7607000.00,43343652.72,43343657.09,7607000.00,43343652.72,43343652.72,2023-08-18,2024-08-17,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES,7012_7012_70CDCR23FR0000051_P00004_70CDCR20D00000014_0
2024,2023-12-19,70CDCR24FR0000007,70CDCR20D00000007,0,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,,8622677.04,103696871.68,103696882.15,8622677.04,103696871.68,103696871.68,2023-12-20,2024-12-19,2024-12-19 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,"FUNDS FOR NEW TASK ORDER FOR CDF SAN DIEGO, CA.",7012_7012_70CDCR24FR0000007_0_70CDCR20D00000007_0
2024,2023-12-20,70CDCR23FR0000041,70CDCR20D00000013,P00003,T. Don Hutto Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,3986600.00,23251184.00,23248432.54,3986600.00,23251184.00,23251184.00,2023-08-01,2024-07-31,2024-07-31 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,FUNDING MODIFICATION,7012_7012_70CDCR23FR0000041_P00003_70CDCR20D00000013_0
2024,2023-12-21,70CDCR23FR0000015,70CDCR20D00000007,P00010,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,5108652.00,89078373.68,87937059.32,5108652.00,89078373.68,89078373.68,2022-12-20,2023-12-19,2023-12-19 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,ADDING FUNDS FOR DETENTION SERVICES AT THE OTAY MESA DETENTION CENTER,7012_7012_70CDCR23FR0000015_P00010_70CDCR20D00000007_0
2024,2023-12-28,70CDCR23FR0000030,DJJODT9C0001,P00004,Central Arizona Florence Correctional Complex,legacy_direct,CORRECTIONS CORPORATION OF AMERICA,HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,2340700.00,16978798.00,16924174.76,2340700.00,16978798.00,16978798.00,2023-07-01,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FOLLOW ON TO COMPETED ACTION,NEGOTIATED PROPOSAL/QUOTE,FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)),NO,922190,S206,TASK ORDER FOR CAFCC,7012_1501_70CDCR23FR0000030_P00004_DJJODT9C0001_0
2024,2024-01-29,70CDCR24FR0000007,70CDCR20D00000007,P00001,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1951424.00,10574101.04,103696882.15,1951424.00,10574101.04,10574101.04,2023-12-20,2024-12-19,2024-12-19 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,"FUNDS FOR MEDICAL SERVICES CLIN 0007 FOR OTAY MESA CDF SAN DIEGO, CA",7012_7012_70CDCR24FR0000007_P00001_70CDCR20D00000007_0
2024,2024-02-02,70CDCR23FR0000051,70CDCR20D00000014,P00005,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,OTHER ADMINISTRATIVE ACTION,0.00,43343652.72,43343657.09,0.00,43343652.72,43343652.72,2023-08-18,2024-08-17,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES VAV COMPLETION MOD,7012_7012_70CDCR23FR0000051_P00005_70CDCR20D00000014_0
2024,2024-02-06,70CDCR23FR0000051,70CDCR20D00000014,P00006,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,OTHER ADMINISTRATIVE ACTION,0.00,43343652.72,43343657.09,0.00,43343652.72,43343652.72,2023-08-18,2024-08-17,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES ADMIN MOD,7012_7012_70CDCR23FR0000051_P00006_70CDCR20D00000014_0
2024,2024-02-12,70CDCR23FR0000041,70CDCR20D00000013,P00004,T. Don Hutto Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1987900.00,23251184.00,23248432.54,1987900.00,23251184.00,23251184.00,2023-08-01,2024-07-31,2024-07-31 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,FUNDING MODIFICATION,7012_7012_70CDCR23FR0000041_P00004_70CDCR20D00000013_0
2024,2024-02-12,70CDCR23FR0000051,70CDCR20D00000014,P00007,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,476900.00,43343652.72,43343657.09,476900.00,43343652.72,43343652.72,2023-08-18,2024-08-17,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES FUNDING MOD,7012_7012_70CDCR23FR0000051_P00007_70CDCR20D00000014_0
2024,2024-02-28,70CDCR24FR0000007,70CDCR20D00000007,P00002,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,11804323.19,22378424.23,103696882.15,11804323.19,22378424.23,22378424.23,2023-12-20,2024-12-19,2024-12-19 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,"FUNDING FOR DETENTION, TRANSPORTATION, DETAINEE WAGES, AND MEDICAL SERVICES FOR OTAY MESA CDF SAN DIEGO, CA",7012_7012_70CDCR24FR0000007_P00002_70CDCR20D00000007_0
2024,2024-02-29,70CDCR22FR0000046,70CDCR20D00000014,P00009,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,-18600.00,39540119.33,39478106.04,-18600.00,39540119.33,39540119.33,2022-08-18,2023-08-17,2023-09-30 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,FUNDING ONLY,7012_7012_70CDCR22FR0000046_P00009_70CDCR20D00000014_0
2024,2024-02-29,70CDCR23FR0000051,70CDCR20D00000014,P00008,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,OTHER ADMINISTRATIVE ACTION,0.00,43343652.72,43343657.09,0.00,43343652.72,43343652.72,2023-08-18,2024-08-17,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES RATE UPDATE,7012_7012_70CDCR23FR0000051_P00008_70CDCR20D00000014_0
2024,2024-03-06,70CDCR23FR0000015,70CDCR20D00000007,P00011,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,-1141314.36,87937059.32,87937059.32,-1141314.36,87937059.32,87937059.32,2022-12-20,2023-12-19,2023-12-19 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,DEOBLIGATE FUNDS FOR DETENTION SERVICES AT THE OTAY MESA DETENTION CENTER,7012_7012_70CDCR23FR0000015_P00011_70CDCR20D00000007_0
2024,2024-03-11,70CDCR23FR0000051,70CDCR20D00000014,P00009,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,6146700.00,43343652.72,43343657.09,6146700.00,43343652.72,43343652.72,2023-08-18,2024-08-17,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES RATE UPDATE,7012_7012_70CDCR23FR0000051_P00009_70CDCR20D00000014_0
2024,2024-03-12,70CDCR23FR0000030,DJJODT9C0001,P00005,Central Arizona Florence Correctional Complex,legacy_direct,CORRECTIONS CORPORATION OF AMERICA,HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1231300.00,16978798.00,16924174.76,1231300.00,16978798.00,16978798.00,2023-07-01,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FOLLOW ON TO COMPETED ACTION,NEGOTIATED PROPOSAL/QUOTE,FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)),NO,922190,S206,TASK ORDER FOR CAFCC,7012_1501_70CDCR23FR0000030_P00005_DJJODT9C0001_0
2024,2024-03-13,70CDCR23FR0000041,70CDCR20D00000013,P00005,T. Don Hutto Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1698700.00,23251184.00,23248432.54,1698700.00,23251184.00,23251184.00,2023-08-01,2024-07-31,2024-07-31 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,FUNDING MODIFICATION,7012_7012_70CDCR23FR0000041_P00005_70CDCR20D00000013_0
2024,2024-03-15,70CDCR23FR0000051,70CDCR20D00000014,P00010,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1227900.00,43343652.72,43343657.09,1227900.00,43343652.72,43343652.72,2023-08-18,2024-08-17,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES RATE UPDATE,7012_7012_70CDCR23FR0000051_P00010_70CDCR20D00000014_0
2024,2024-03-25,70CDCR23FR0000030,DJJODT9C0001,P00006,Central Arizona Florence Correctional Complex,legacy_direct,CORRECTIONS CORPORATION OF AMERICA,HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1691600.00,16978798.00,16924174.76,1691600.00,16978798.00,16978798.00,2023-07-01,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FOLLOW ON TO COMPETED ACTION,NEGOTIATED PROPOSAL/QUOTE,FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)),NO,922190,S206,TASK ORDER FOR CAFCC,7012_1501_70CDCR23FR0000030_P00006_DJJODT9C0001_0
2024,2024-04-03,70CDCR24FR0000007,70CDCR20D00000007,P00003,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,6199999.06,28578423.29,103696882.15,6199999.06,28578423.29,28578423.29,2023-12-20,2024-12-19,2024-12-19 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,"FUNDING FOR DETENTION, DETAINEE WAGES, AND MEDICAL SERVICES FOR OTAY MESA CDF SAN DIEGO, CA",7012_7012_70CDCR24FR0000007_P00003_70CDCR20D00000007_0
2024,2024-04-08,70CDCR23FR0000041,70CDCR20D00000013,P00006,T. Don Hutto Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,67325.00,23251184.00,23248432.54,67325.00,23251184.00,23251184.00,2023-08-01,2024-07-31,2024-07-31 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,FUNDING MODIFICATION,7012_7012_70CDCR23FR0000041_P00006_70CDCR20D00000013_0
2024,2024-04-09,70CDCR22FR0000033,70CDCR20D00000013,P00008,T. Don Hutto Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,CLOSE OUT,-339197.75,22782909.63,20879328.42,-339197.75,22782909.63,22782909.63,2022-08-01,2023-07-31,2023-07-31 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,T.DON HUTTO DETENTION CENTER: 70CDCR20D00000013 TASK ORDER CLOSEOUT MODIFICATION,7012_7012_70CDCR22FR0000033_P00008_70CDCR20D00000013_0
2024,2024-04-15,70CDCR23FR0000030,DJJODT9C0001,P00007,Central Arizona Florence Correctional Complex,legacy_direct,CORRECTIONS CORPORATION OF AMERICA,HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1424875.00,16978798.00,16924174.76,1424875.00,16978798.00,16978798.00,2023-07-01,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FOLLOW ON TO COMPETED ACTION,NEGOTIATED PROPOSAL/QUOTE,FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)),NO,922190,S206,TASK ORDER FOR CAFCC,7012_1501_70CDCR23FR0000030_P00007_DJJODT9C0001_0
2024,2024-04-15,70CDCR23FR0000051,70CDCR20D00000014,P00011,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,3820513.00,43343652.72,43343657.09,3820513.00,43343652.72,43343652.72,2023-08-18,2024-08-17,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES RATE UPDATE,7012_7012_70CDCR23FR0000051_P00011_70CDCR20D00000014_0
2024,2024-04-25,70CDCR24FR0000007,70CDCR20D00000007,P00004,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,8467169.42,37045592.71,103696882.15,8467169.42,37045592.71,37045592.71,2023-12-20,2024-05-31,2024-05-31 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,"FUNDING FOR CLINS FOR DETENTION, DETAINEE TRANSPORTATION, DETAINEE VOLUNTEER PAY, AND MEDICAL SERVICES FOR OTAY MESA CDF SAN DIEGO, CA",7012_7012_70CDCR24FR0000007_P00004_70CDCR20D00000007_0
2024,2024-04-29,70CDCR23FR0000051,70CDCR20D00000014,P00012,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,3820513.00,43343652.72,43343657.09,3820513.00,43343652.72,43343652.72,2023-08-18,2024-05-31,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF DETENTION SERVICES RATE UPDATE,7012_7012_70CDCR23FR0000051_P00012_70CDCR20D00000014_0
2024,2024-05-01,70CDCR23FR0000051,70CDCR20D00000014,P00013,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,8500.00,43343652.72,43343657.09,8500.00,43343652.72,43343652.72,2023-08-18,2024-05-31,2024-08-17 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON CDF VTC BRACKET INSTALLATION,7012_7012_70CDCR23FR0000051_P00013_70CDCR20D00000014_0
2024,2024-05-03,70CDCR24FR0000007,70CDCR20D00000007,P00005,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,8467169.98,45512762.69,103696882.15,8467169.98,45512762.69,45512762.69,2023-12-20,2024-05-31,2024-05-31 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,"FUNDING FOR CLINS FOR DETENTION, DETAINEE TRANSPORTATION, DETAINEE VOLUNTEER PAY, AND MEDICAL SERVICES FOR OTAY MESA CDF SAN DIEGO, CA",7012_7012_70CDCR24FR0000007_P00005_70CDCR20D00000007_0
2024,2024-05-07,70CDCR23FR0000041,70CDCR20D00000013,P00007,T. Don Hutto Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,3973752.00,23251184.00,23248432.54,3973752.00,23251184.00,23251184.00,2023-08-01,2024-05-31,2024-06-06 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,FUNDING MODIFICATION,7012_7012_70CDCR23FR0000041_P00007_70CDCR20D00000013_0
2024,2024-05-15,70CDCR23FR0000030,DJJODT9C0001,P00008,Central Arizona Florence Correctional Complex,legacy_direct,CORRECTIONS CORPORATION OF AMERICA,HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1363867.00,16978798.00,16924174.76,1363867.00,16978798.00,16978798.00,2023-07-01,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FOLLOW ON TO COMPETED ACTION,NEGOTIATED PROPOSAL/QUOTE,FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)),NO,922190,S206,TASK ORDER FOR CAFCC,7012_1501_70CDCR23FR0000030_P00008_DJJODT9C0001_0
2024,2024-05-16,70CDCR24FR0000007,70CDCR20D00000007,P00006,Otay Mesa Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,8457119.96,53969882.65,103696882.15,8457119.96,53969882.65,53969882.65,2023-12-20,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,"FUNDING FOR CLINS FOR DETENTION, DETAINEE TRANSPORTATION, DETAINEE VOLUNTEER PAY, AND MEDICAL SERVICES FOR OTAY MESA CDF SAN DIEGO, CA",7012_7012_70CDCR24FR0000007_P00006_70CDCR20D00000007_0
2024,2024-05-28,70CDCR23FR0000030,DJJODT9C0001,P00009,Central Arizona Florence Correctional Complex,legacy_direct,CORRECTIONS CORPORATION OF AMERICA,HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1672656.00,16978798.00,16924174.76,1672656.00,16978798.00,16978798.00,2023-07-01,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FOLLOW ON TO COMPETED ACTION,NEGOTIATED PROPOSAL/QUOTE,FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)),NO,922190,S206,TASK ORDER FOR CAFCC,7012_1501_70CDCR23FR0000030_P00009_DJJODT9C0001_0
2024,2024-05-29,70CDCR23FR0000041,70CDCR20D00000013,P00008,T. Don Hutto Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1919548.00,23251184.00,23248432.54,1919548.00,23251184.00,23251184.00,2023-08-01,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,FUNDING MODIFICATION,7012_7012_70CDCR23FR0000041_P00008_70CDCR20D00000013_0
2024,2024-05-30,70CDCR23FR0000051,70CDCR20D00000014,P00014,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,3820511.00,43343652.72,43343657.09,3820511.00,43343652.72,43343652.72,2023-08-18,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON FUNDING MOD,7012_7012_70CDCR23FR0000051_P00014_70CDCR20D00000014_0
2024,2024-06-04,70CDCR23FR0000051,70CDCR20D00000014,P00015,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,OTHER ADMINISTRATIVE ACTION,0.00,43343652.72,43343657.09,0.00,43343652.72,43343652.72,2023-08-18,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON FUNDING MOD,7012_7012_70CDCR23FR0000051_P00015_70CDCR20D00000014_0
2024,2024-06-25,70CDCR23FR0000051,70CDCR20D00000014,P00016,Houston Contract Detention Facility,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,OTHER ADMINISTRATIVE ACTION,0.00,43343652.72,43343657.09,0.00,43343652.72,43343652.72,2023-08-18,2024-06-30,2024-06-30 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,HOUSTON FUNDING MOD,7012_7012_70CDCR23FR0000051_P00016_70CDCR20D00000014_0
2024,2024-06-28,70CDCR24FR0000037,DJJODT9C0001,0,Central Arizona Florence Correctional Complex,legacy_direct,CORRECTIONS CORPORATION OF AMERICA,HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,,1411200.00,1411200.00,19272186.68,1411200.00,1411200.00,1411200.00,2024-07-01,2025-06-30,2025-06-30 00:00:00,FIRM FIXED PRICE,,FOLLOW ON TO COMPETED ACTION,NEGOTIATED PROPOSAL/QUOTE,FOLLOW-ON CONTRACT (FAR 6.302-1(A)(2)(II/III)),NO,922190,S206,TO ESTABLISH A NEW TASK ORDER FOR  HOUSING OF ICE DETAINEES FOR CORECIVIC CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX (CAFCC) CONTRACT POP: 07/01/24 - 06/30/25,7012_1501_70CDCR24FR0000037_0_DJJODT9C0001_0
2024,2024-07-02,70CDCR23FR0000041,70CDCR20D00000013,P00009,T. Don Hutto Detention Center,legacy_direct,"CORECIVIC, INC.",HJGMJN1JKL46,3HAR6,U.S. Immigration and Customs Enforcement,FUNDING ONLY ACTION,1827600.00,23251184.00,23248432.54,1827600.00,23251184.00,23251184.00,2023-08-01,2024-07-31,2024-07-31 00:00:00,FIRM FIXED PRICE,,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,NO,561612,S206,FUNDING MODIFICATION,7012_7012_70CDCR23FR0000041_P00009_70CDCR20D00000013_0
